frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
268,14.9113,1.9062,5.7852,5.7147,0.0067,5.7512,0.2987,0.0813,22.9826
269,13.8741,1.8683,0.0294,6.7888,0.0091,0.0015,0.1682,0.0735,16.0135
270,12.0459,1.8900,7.9338,5.2930,0.0090,7.8982,0.2815,0.0831,22.2343
271,13.4740,1.8063,0.0285,8.3948,0.0068,0.0018,0.2354,0.1112,15.6555
272,18.0652,1.8487,0.0822,5.5340,0.0413,0.0030,0.2125,0.0885,20.2971
273,17.4228,1.8792,0.0299,4.8577,0.0068,0.0019,0.2284,0.0833,19.6436
274,15.8217,2.5496,0.0330,5.5909,0.0080,0.0015,0.2628,0.0876,18.7547
275,17.9401,2.0476,0.0328,8.6223,0.0080,0.0016,0.2604,0.0952,20.3761
276,16.0706,1.9721,2.9255,5.5358,0.0092,2.8990,0.2514,0.0731,21.2927
277,16.7934,1.8860,0.0278,6.1630,0.0063,0.0015,0.1840,0.0740,18.9653
278,12.3227,2.1017,6.3368,5.3704,0.0097,6.2961,0.2863,0.0747,21.1223
279,15.6016,1.8023,0.0222,8.6913,0.0050,0.0016,0.1664,0.0751,17.6677
280,15.5506,1.8915,5.2405,5.7226,0.0068,5.2085,0.2606,0.0689,23.0121
281,10.6962,1.7114,0.0191,6.0349,0.0044,0.0013,0.1367,0.0735,12.6369
282,14.6984,1.8138,5.3248,5.2693,0.0043,5.3007,0.2340,0.0677,22.1388
283,14.5962,1.7752,0.0221,6.2739,0.0053,0.0018,0.1665,0.0900,16.6500
284,14.5845,2.1030,6.4534,5.4593,0.0126,6.4111,0.2845,0.0820,23.5074
285,14.1624,1.7316,0.0358,6.7639,0.0053,0.0013,0.1755,0.0759,16.1812
286,19.1882,1.7965,0.0284,5.5375,0.0056,0.0020,0.2654,0.0933,21.3719
287,18.1659,1.8069,0.0225,5.0666,0.0057,0.0011,0.2182,0.0742,20.2878
288,10.1537,1.8977,10.5255,11.2491,0.0067,10.4993,0.3270,0.0902,22.9941
289,12.5215,1.7935,0.0274,7.6104,0.0074,0.0017,0.2226,0.1161,14.6811
